marca,modelo,ano_modelo,preco,mes_referencia,data_consulta
Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 61.328,00",maio/2022,"segunda-feira, 30 de maio de 2022 22:47"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 60.767,00",abril/2022,"segunda-feira, 30 de maio de 2022 22:48"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 60.128,00",março/2022,"segunda-feira, 30 de maio de 2022 22:48"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 59.619,00",fevereiro/2022,"segunda-feira, 30 de maio de 2022 22:48"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 58.890,00",janeiro/2022,"segunda-feira, 30 de maio de 2022 22:49"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 58.271,00",dezembro/2021,"segunda-feira, 30 de maio de 2022 22:49"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 57.335,00",novembro/2021,"segunda-feira, 30 de maio de 2022 22:49"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 55.997,00",outubro/2021,"segunda-feira, 30 de maio de 2022 22:49"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 54.913,00",setembro/2021,"segunda-feira, 30 de maio de 2022 22:50"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 53.270,00",agosto/2021,"segunda-feira, 30 de maio de 2022 22:50"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 52.771,00",julho/2021,"segunda-feira, 30 de maio de 2022 22:50"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 51.563,00",junho/2021,"segunda-feira, 30 de maio de 2022 22:50"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 49.913,00",maio/2021,"segunda-feira, 30 de maio de 2022 22:51"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 49.584,00",abril/2021,"segunda-feira, 30 de maio de 2022 22:51"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 47.547,00",março/2021,"segunda-feira, 30 de maio de 2022 22:51"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.728,00",fevereiro/2021,"segunda-feira, 30 de maio de 2022 22:52"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.394,00",janeiro/2021,"segunda-feira, 30 de maio de 2022 22:52"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 45.879,00",dezembro/2020,"segunda-feira, 30 de maio de 2022 22:52"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 45.107,00",novembro/2020,"segunda-feira, 30 de maio de 2022 22:52"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 44.752,00",outubro/2020,"segunda-feira, 30 de maio de 2022 22:53"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 44.350,00",setembro/2020,"segunda-feira, 30 de maio de 2022 22:53"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 44.596,00",agosto/2020,"segunda-feira, 30 de maio de 2022 22:53"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 44.745,00",julho/2020,"segunda-feira, 30 de maio de 2022 22:53"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 44.996,00",junho/2020,"segunda-feira, 30 de maio de 2022 22:54"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 45.146,00",maio/2020,"segunda-feira, 30 de maio de 2022 22:54"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 45.096,00",abril/2020,"segunda-feira, 30 de maio de 2022 22:54"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 45.277,00",março/2020,"segunda-feira, 30 de maio de 2022 22:54"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 45.230,00",fevereiro/2020,"segunda-feira, 30 de maio de 2022 22:55"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 45.851,00",janeiro/2020,"segunda-feira, 30 de maio de 2022 22:55"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.074,00",dezembro/2019,"segunda-feira, 30 de maio de 2022 22:55"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.183,00",novembro/2019,"segunda-feira, 30 de maio de 2022 22:56"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 45.810,00",outubro/2019,"segunda-feira, 30 de maio de 2022 22:56"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.166,00",setembro/2019,"segunda-feira, 30 de maio de 2022 22:56"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.365,00",agosto/2019,"segunda-feira, 30 de maio de 2022 22:56"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.559,00",julho/2019,"segunda-feira, 30 de maio de 2022 22:57"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 47.055,00",junho/2019,"segunda-feira, 30 de maio de 2022 22:57"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 48.199,00",maio/2019,"segunda-feira, 30 de maio de 2022 22:57"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 48.172,00",abril/2019,"segunda-feira, 30 de maio de 2022 22:57"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 48.129,00",março/2019,"segunda-feira, 30 de maio de 2022 22:58"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 47.599,00",fevereiro/2019,"segunda-feira, 30 de maio de 2022 22:58"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.781,00",janeiro/2019,"segunda-feira, 30 de maio de 2022 22:58"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.982,00",dezembro/2018,"segunda-feira, 30 de maio de 2022 22:59"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 46.975,00",novembro/2018,"segunda-feira, 30 de maio de 2022 22:59"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 47.361,00",outubro/2018,"segunda-feira, 30 de maio de 2022 22:59"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 49.009,00",setembro/2018,"segunda-feira, 30 de maio de 2022 22:59"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.010,00",agosto/2018,"segunda-feira, 30 de maio de 2022 23:00"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.945,00",julho/2018,"segunda-feira, 30 de maio de 2022 23:00"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 52.270,00",junho/2018,"segunda-feira, 30 de maio de 2022 23:00"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 51.555,00",maio/2018,"segunda-feira, 30 de maio de 2022 23:00"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.872,00",abril/2018,"segunda-feira, 30 de maio de 2022 23:01"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.190,00",março/2018,"segunda-feira, 30 de maio de 2022 23:01"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 50.064,00",fevereiro/2018,"segunda-feira, 30 de maio de 2022 23:01"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 49.401,00",janeiro/2018,"segunda-feira, 30 de maio de 2022 23:01"

Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 61.328,00",maio/2022,"quarta-feira, 1 de junho de 2022 14:51"
Fiat,ARGO DRIVE 1.3 8V Flex,2018 Gasolina,"R$ 61.328,00",maio/2022,"quarta-feira, 1 de junho de 2022 14:53"
